ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Nov 06, 2022 at 19:15:33 CST
ncverilog
	Lab4_Team25_Scan_Chain_Design_t.v
	Lab4_Team25_Scan_Chain_Design.v
	+access+r
Loading snapshot worklib.Scan_Chain_Design_t:v .................... Done
*Verdi* Loading libsscore_ius152.so
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
rst_n: 0 | scan_in: 0 | scan_en: 0 | a:  x | b:  x | p:   x | sdff: xxxxxxxx
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  0 | b: 14 | p:   0 | sdff: 00001110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  0 | b:  7 | p:   0 | sdff: 00000111
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  8 | b:  3 | p:  24 | sdff: 10000011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  4 | b:  1 | p:   4 | sdff: 01000001
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  2 | b:  0 | p:   0 | sdff: 00100000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  9 | b:  0 | p:   0 | sdff: 10010000
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 12 | b:  8 | p:  96 | sdff: 11001000
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  6 | b:  4 | p:  24 | sdff: 01100100
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  3 | b:  2 | p:   6 | sdff: 00110010
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  1 | b:  9 | p:   9 | sdff: 00011001
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  0 | b: 12 | p:   0 | sdff: 00001100
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  0 | b:  6 | p:   0 | sdff: 00000110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  8 | b:  3 | p:  24 | sdff: 10000011
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 12 | b:  1 | p:  12 | sdff: 11000001
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 14 | b:  0 | p:   0 | sdff: 11100000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 15 | b:  0 | p:   0 | sdff: 11110000
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 15 | b:  8 | p: 120 | sdff: 11111000
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  7 | b: 12 | p:  84 | sdff: 01111100
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  3 | b: 14 | p:  42 | sdff: 00111110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  9 | b: 15 | p: 135 | sdff: 10011111
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 12 | b: 15 | p: 180 | sdff: 11001111
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 14 | b:  7 | p:  98 | sdff: 11100111
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  7 | b:  3 | p:  21 | sdff: 01110011
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  3 | b:  9 | p:  27 | sdff: 00111001
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  9 | b: 12 | p: 108 | sdff: 10011100
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 12 | b: 14 | p: 168 | sdff: 11001110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  6 | b:  7 | p:  42 | sdff: 01100111
